capability,repo,path,note
per-call agent sandbox,aet,src/aet/isolation/sandbox.py,deny-wins bwrap argv builder
per-call agent sandbox,oscar-merlin,merlin/python/merlin/targetgen/sandbox/bwrap.py,independent bwrap builder
per-call agent sandbox,spec,specir/nl2spec/sandbox.py,third builder; carries a drift test asserting its argv matches aet's
token price table,aet,src/aet/trajectory/pricing.py,USD/Mtok four-class table
token price table,oscar-merlin,merlin/python/merlin/targetgen/experiment_tokens.py,_RATES, two-class (input/output only)
token price table,spec,specir/nl2spec/spend.py,RATES_PER_MTOK four-class; falls back to aet's table when importable
bedrock model registry,chia,chia/models/bedrock_config.py,MODELS + ModelTier
bedrock model registry,oscar-merlin,merlin/experiments/capsule_bench/harness/model_tiers.py,orchestrator/delegate tier map
bedrock model registry,oscar-merlin,merlin/experiments/capsule_bench/harness/bedrock_agent.py,_CONVERSE_MODELS capability list
converse tool loop,chia,chia/models/bedrock.py,client-side Converse + MCP loop
converse tool loop,oscar-merlin,merlin/experiments/capsule_bench/harness/bedrock_agent.py,independent Converse loop
opencode stream parsing,chia,chia/models/opencode.py,run + export parsing
opencode stream parsing,oscar-merlin,merlin/experiments/capsule_bench/harness/opencode_agent.py,independent parser
usage-key normalization,chia,chia/models/codex.py,_USAGE_KEY_MAP
usage-key normalization,aet,src/aet/tracking/claude_stream.py,ModelUsage field mapping
usage-key normalization,spec,specir/nl2spec/spend.py,its own key coercion before pricing
